省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5124,南京大学,05,工科试验班（含材料物理、材料化学、新能源科学与工程、工商信息科学与工程、生物医学工程、自动化、建筑学、城乡规划（五年制）、工业工程、金融工程）,理科,本一批,659,660,661,543,3
福建,2018,5124,南京大学,06,理科试验班类(化学与生命科学类),理科,本一批,658,660,661,573,3
福建,2018,5124,南京大学,07,理科试验班(大理科班)),理科,本一批,662,662,662,457,3
福建,2018,5124,南京大学,08,理科试验班(数理科学类),理科,本一批,660,662,666,507,6
福建,2018,5124,南京大学,09,电子信息类,理科,本一批,658,660,662,573,4
福建,2018,5124,南京大学,10,计算机类(含:计算机科学与技术),理科,本一批,662,663,664,457,3
福建,2018,5124,南京大学,11,计算机科学与技术(人工智能方向),理科,本一批,676,676,676,162,1
福建,2018,5124,南京大学,12,软件工程,理科,本一批,659,660,662,543,6
福建,2018,5124,南京大学,13,临床医学(本博连读),理科,本一批,659,660,660,543,2
福建,2018,5124,南京大学,01,社会科学试验班(含:法学、社会学、社会工作、应用心理学、政治学与行政学、行政管理、劳动与社会保障、国际政治、图书馆学(含公共数字文化方向)、档案学(含经济与科技档案方向)、编辑出版学(含数字化出版与新媒体方向)、信息管理与信息系统(含大数据管理应用方向)),文科,本一批,648,649,649,137,3
福建,2018,5124,南京大学,02,人文科学试验班(人文艺术传播类(含:哲学、汉语国际教育、汉语言文学、新闻学、广播电视学、广告学、历史学、考古学、考古学(文物鉴定方向)),文科,本一批,647,648,651,153,6
福建,2018,5124,南京大学,03,经济管理试验班(含:经济学、金融学、金融工程、保险学、经济学(产业经济学方向)、工商管理、市场营销、会计学、财务管理、电子商务、工商管理(人力资源方向)、国际经济与贸易),文科,本一批,648,649,650,137,3
福建,2018,5124,南京大学,04,外国语言文学类(含:英语、德语、法语、西班牙语),文科,本一批,648,649,650,137,2
福建,2018,5261,中山大学(护理专业其它),01,护理学,理科,本一批,523,533,538,22928,3
福建,2018,5260,中山大学,01,经济学类(含:金融学、经济学),理科,本一批,652,654,656,783,4
福建,2018,5260,中山大学,02,金融学,理科,本一批,642,643,643,1255,3
福建,2018,5260,中山大学,03,法学,理科,本一批,637,638,639,1558,2
福建,2018,5260,中山大学,04,数学类(含:数学与应用数学、信息与计算科学),理科,本一批,633,637,641,1835,7
福建,2018,5260,中山大学,05,信息与计算科学,理科,本一批,640,645,650,1365,3
福建,2018,5260,中山大学,06,物理学,理科,本一批,636,638,640,1627,3
福建,2018,5260,中山大学,07,化学类(含:化学、高分子材料与工程),理科,本一批,634,637,639,1768,4
福建,2018,5260,中山大学,08,地理科学类(含:自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学),理科,本一批,634,635,636,1768,3
福建,2018,5260,中山大学,09,大气科学类(含:大气科学、应用气象学),理科,本一批,633,635,637,1835,3
福建,2018,5260,中山大学,10,生物科学类(含:生物科学、生物技术、生态学),理科,本一批,633,634,635,1835,4
福建,2018,5260,中山大学,11,心理学,理科,本一批,635,635,635,1700,2
福建,2018,5260,中山大学,12,理论与应用力学,理科,本一批,633,633,634,1835,3
福建,2018,5260,中山大学,13,材料类(含:材料物理、材料化学、高分子材料与工程),理科,本一批,633,634,635,1835,5
福建,2018,5260,中山大学,14,电子信息类(含:电子信息科学与技术、通信工程),理科,本一批,634,638,642,1768,5
福建,2018,5260,中山大学,15,微电子科学与工程,理科,本一批,639,640,641,1441,3
福建,2018,5260,中山大学,16,光电信息科学与工程(理学),理科,本一批,639,639,639,1441,3
福建,2018,5260,中山大学,17,计算机类(含:计算机科学与技术、网络空间安全),理科,本一批,639,645,650,1441,6
福建,2018,5260,中山大学,18,智能科学与技术,理科,本一批,643,643,644,1202,4
福建,2018,5260,中山大学,19,土木工程,理科,本一批,633,634,634,1835,2
福建,2018,5260,中山大学,20,交通工程,理科,本一批,633,634,636,1835,3
福建,2018,5260,中山大学,21,核工程类(中外合作办学)(含:核工程与核技术),理科,本一批,633,635,637,1835,3
福建,2018,5260,中山大学,22,环境科学与工程类(含:环境科学、环境工程),理科,本一批,635,638,640,1700,2
福建,2018,5260,中山大学,23,生物医学工程,理科,本一批,634,637,639,1768,3
福建,2018,5260,中山大学,24,城乡规划,理科,本一批,634,635,635,1768,2
福建,2018,5260,中山大学,25,临床医学(八年制),理科,本一批,661,663,664,484,2
福建,2018,5260,中山大学,26,临床医学,理科,本一批,642,646,652,1255,15
福建,2018,5260,中山大学,27,口腔医学(5+3医),理科,本一批,653,654,655,748,2
